m1	c1	a1	a2	a3	a4	a5	t_type
1	张三	2	57	72	607	662	A
1	李四	6	29	591	765	555	C
1	王五	8	396	643	511	49	B
1	赵六	5	700	62	636	889	C
1	小明	5	755	929	199	116	A
1	小亮	9	996	550	292	90	B
1	小李	7	111	984	781	48	B
1	小王	2	4	483	184	9	C
1	小赵	3	831	797	850	196	A
2	张三	4	583	484	243	139	B
2	李四	2	318	346	695	483	B
2	王五	7	61	959	778	739	B
2	赵六		853	671	968	616	A
2	小明	4	321	227	264	964	C
2	小亮	5	211	611	491	61	B
2	小张	8	326	859	764	410	C
2	小李	7	316	261	99	484	B
2	小王	0	920	101	974	403	B
2	小赵	5	843	502	606	635	B
3	张三	4	387	20	19	397	B
3	李四	2	630	96	819	780	B
3	赵六	0	327	904	360	754	B
3	小明	7	179	886	884	97	A
3	小亮	5	441	809	230	853	C
3	小张	3	263	478	186	598	B
3	小李	6	117	294		311	B
3	小王	6	11	272	370	267	C
3	小赵	8	699	867	741	131	B
4	张三	9	939	215	867	107	B
4	李四	3	859	326	649	632	B
4	王五	4	374	777	414	996	C
4	赵六	2	646	539	301	714	A
4	小明	6	873	933	244	695	B
4	小亮	1	784	495	770	21	B
4	小张	5	345	845	378	112	C
4	小李	7		660		101	C
4	小王	9	163	253	710	731	C
5	张三	1	4	667	295	493	B
5	李四	7	378	97	302	997	B
5	王五	3	319	55	674	507	A
5	赵六		134	940	995	504	C
5	小明	9	172	76	524	318	B
5	小亮	0	256	997	108	287	B
5	小张	9	683	730	21	854	B
5	小李	8	615	830	958	923	A
5	小王	9	526	896	507	886	B
6	张三	7	974		240	641	B
6	李四	2	121	411	66	695	B
6	王五	2	976	258	592	101	C
6	赵六	5	722	701	988	5	B
6	小明	8	687	728	317	525	B
6	小亮	5	624	640		14	B
6	小张	1	659	505	308	400	C
6	小李	9	987	674	352	749	B
6	小王	5	829	407	98	327	B
6	小赵	2	403	306	580	171	B
7	张三	2	463		441	339	C
7	李四	1	980	542	555	936	B
7	王五	2	40	347	540	279	A
7	赵六	9	292	861	190	561	B
7	小明	8	134	32	376	397	B
7	小亮	9	581	593	199	787	A
7	小张	0	387	320	267	493	B
7	小李	5	665	300	874	821	B
7	小王	6	913	115	554	766	B
7	小赵	5	624	919	665	835	B
8	张三	5	422	183	265	657	C
8	李四	0	374	626	234	270	C
8	王五	9	60	80	514	352	B
8	赵六	5	36	157	26	945	C
8	小明	9	110	391	965	148	B
8	小张	4	111	251	884	588	C
8	小李	0	494	663	28	535	B
8	小王	4	158	412	649	215	A
8	小赵	0	967	350	836	528	A
9	张三	5	765	751	821	394	C
9	李四	7	964	615	311	271	B
9	王五	2	738	537	836	955	C
9	赵六	6	359	17	842	439	C
9	小明	7	361	317	342	411	B
9	小张	2	605	574	192	226	C
9	小李	5	168	825	683	323	A
9	小王	5	909	659	12	993	C
9	小赵	3	626	880	911	626	C
10	张三	3	229	376	148	816	C
10	李四	6	586	187	847	264	A
10	王五	0	771	670	400	660	C
10	赵六	8	610	616	444	323	A
10	小明	7	805	18	717	195	B
10	小张	9	443	34	794	816	C
10	小李	2	45	346	489	351	A
10	小王	2	550	537	951	223	C
10	小赵	0	9	971	34	333	C
