month_nbr	customer	amt1	amt2	amt3	amt4	amt5	trade_type	trade_category
1	张三	8	118	679	93	851	C	Y
1	李四	7	363	606	881	251	B	Y
1	王五	6	413	689	369	192	B	X
1	赵六	3	975	274	672	468	A	Z
1	小明	9	499	39	634	780	B	Y
1	小亮	4	268	310	583	729	B	Z
1	小李	1	125	148	287	999	B	Y
1	小王	6	371	926	429	38	A	Z
1	小赵	3	628	132	789	483	B	Y
2	张三	0	430	485	138	957	B	Z
2	李四	6	545	766	75	110	B	Y
2	王五	8	896	584	949	151	B	Y
2	赵六		683	18	17	159	B	Y
2	小明	8	312	308	95	245	C	Y
2	小亮	4	847	145	213	477	B	Y
2	小张	6	159	365	193	810	B	Z
2	小李	4	536	847	958	658	B	Y
2	小王	7	78	883	918	710	B	Y
2	小赵	8	372	70	146	508	C	Z
3	张三	5	377	508	745	641	A	Z
3	李四	4	876	898	798	855	B	Y
3	赵六	1	188	368	101	584	C	Y
3	小明	4	582	625	225	926	B	X
3	小亮	9	651	891	945	498	C	Y
3	小张	4	691	48	750	718	C	Y
3	小李	7	72	861		528	A	Y
3	小王	2	449	534	134	436	C	Z
3	小赵	2	664	934	295	245	C	Y
4	张三	1	51	549	440	27	A	Y
4	李四	4	461	567	836	738	B	Z
4	王五	6	867	630	861	8	B	Y
4	赵六	5	387	66	50	34	B	Z
4	小明	4	418	364	266	471	B	Y
4	小亮	5	701	951	278	347	B	Z
4	小张	0	718	111	603	759	B	Z
4	小李	0		830		304	B	X
4	小王	6	153	131	399	506	C	Y
5	张三	7	561	450	618	572	A	Y
5	李四	9	697	159	959	155	B	Z
5	王五	2	821	602	723	459	B	Y
5	赵六		452	615	550	274	B	Y
5	小明	0	569	124	192	946	B	Y
5	小亮	2	167	52	907	545	B	X
5	小张	5	962	744	581	956	B	Z
5	小李	5	555	426	775	743	C	X
5	小王	7	664	28	120	76	C	Y
6	张三	0	549		512	188	C	Y
6	李四	9	785	850	583	656	A	Z
6	王五	9	918	4	105	900	B	Y
6	赵六	3	491	947	644	929	C	Y
6	小明	9	454	672	776	59	C	Z
6	小亮	4	421	990		248	C	Z
6	小张	3	398	757	858	711	B	Y
6	小李	7	764	145	78	30	B	X
6	小王	0	966	494	655	981	C	Z
6	小赵	6	618	880	45	694	B	Y
7	张三	9	941		640	848	A	Y
7	李四	5	427	74	881	460	B	Y
7	王五	7	229	606	397	885	B	Z
7	赵六	9	872	875	123	601	C	Y
7	小明	2	139	509	576	808	B	Z
7	小亮	3	198	268	602	341	C	Y
7	小张	4	354	21	883	319	B	Y
7	小李	7	244	22	480	535	B	Y
7	小王	0	873	677	289	349	B	Z
7	小赵	3	312	417	236	572	A	X
8	张三	2	819	90	201	128	B	Y
8	李四	9	677	489	552	945	B	Y
8	王五	1	166	931	912	113	C	Y
8	赵六	0	622	364	317	981	C	Y
8	小明	0	18	785	83	814	B	Y
8	小张	2	867	70	276	974	B	Y
8	小李	3	552	680	404	138	B	Y
8	小王	9	466	597	796	946	A	Y
8	小赵	8	185	867	83	144	C	Y
9	张三	3	108	975	360	308	B	Y
9	李四	4	713	67	243	248	C	Z
9	王五	4	328	336	19	509	A	Z
9	赵六	6	338	422	231	571	B	Z
9	小明	2	283	745	114	142	A	Z
9	小张	8	179	124	840	365	A	Y
9	小李	0	811	429	686	827	C	X
9	小王	1	46	746	883	496	B	Z
9	小赵	7	598	369	341	145	B	Z
10	张三	1	734	750	446	674	C	Y
10	李四	5	728	835	6	958	A	Y
10	王五	4	557	295	157	674	B	Z
10	赵六	8	344	953	133	866	B	X
10	小明	3	96	980	357	951	C	Y
10	小张	9	296	185	908	617	B	Z
10	小李	6	562	877	359	380	B	Z
10	小王	2	738	57	496	468	A	Y
10	小赵	9	812	13	651	189	A	Z
11	张三	7	407	143	702	955	B	Y
11	李四	8	491	617	893	336	C	Z
11	王五	7	213	162	996	530	A	Z
11	赵六	3	248	37	168	384	B	Z
11	小明	2	641	604	2	409	A	Z
11	小张	6	776	412	462	606	A	Y
11	小李	4	431	849	791	371	C	X
11	小王	8	851	867	969	141	B	Z
11	小赵	3	958	598	372	901	B	Z
12	张三	9	898	161	0	768	C	Y
12	李四	4	920	85	335	185	A	Y
12	王五	4	75	386	360	211	B	Z
12	赵六	3	264	602	81	40	B	X
12	小明	8	794	196	572	24	C	Y
12	小张	4	214	145	206	974	B	Z
12	小李	8	749	829	286	988	B	Z
12	小王	0	918	943	95	733	A	Y
12	小赵	7	571	771	769	971	A	Z
